"img","label","stillImageUUID","stillImageInternalFilename","hasStandoffLinkToValue","seqnumStr","partOfTitleStr","partOf","hasRecipientLabel","hasAuthorLabel","sytemNumberStr"
"http://rdfh.ch/0801/ZVdASI9RRwu7dmx7lIe40Q","1075503.tif","CGylThnwRK6HMFOGqJCpig","gV1UsciZpc-FVWtYkxbwXG.jpx",,"2","1739-03-21_Maupertuis_Pierre_Louis_Moreau_de-Bernoulli_Johann_I","http://rdfh.ch/0801/wmqr9FreQ96Ion_IBSBS3Q","Johann I Bernoulli","Pierre Louis Moreau de Maupertuis","000056592"
"http://rdfh.ch/0801/u4xTiQmwTViyc7EkFPUrOw","1075504.tif","3DD5c4CBRpi7IAykOe4A7g","1gi20pLzfMn-BsgPLabzg06.jpx",,"3","1739-03-21_Maupertuis_Pierre_Louis_Moreau_de-Bernoulli_Johann_I","http://rdfh.ch/0801/wmqr9FreQ96Ion_IBSBS3Q","Johann I Bernoulli","Pierre Louis Moreau de Maupertuis","000056592"
"http://rdfh.ch/0801/Lxq_dU6lSoWmZ0yveXQPJA","Ms_H_321_s141.tif","qdhV774QSV27c-KR12Z5gQ","7yRxQcSF0pI-F04R3aQ25Sv.jpx",,"0","1727-10-28_Bernoulli_Johann_I-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/jvv9SKMhTbGGMT23z8n8fQ","Johann Jakob Scheuchzer","Johann I Bernoulli","000057354"
"http://rdfh.ch/0801/fhMRjH-qTB6aUH7UtxHxDg","Ms_H_321_s142.tif","itD0nlRZSdG3lAyAfZk00w","HkoANaF7uaZ-G4XjZcKt8Ep.jpx",,"1","1727-10-28_Bernoulli_Johann_I-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/jvv9SKMhTbGGMT23z8n8fQ","Johann Jakob Scheuchzer","Johann I Bernoulli","000057354"
"http://rdfh.ch/0801/xGKq0Ea5Rs63XiHVxFbslQ","Ms_H_321_s143.tif","9SZBy-h-QXq58uOboO1DDA","EhJRa81wxmg-DUSGheNlUy3.jpx",,"2","1727-10-28_Bernoulli_Johann_I-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/jvv9SKMhTbGGMT23z8n8fQ","Johann Jakob Scheuchzer","Johann I Bernoulli","000057354"
"http://rdfh.ch/0801/AWnDg310R1m_7LNcyCam3A","1409197.tif","E4rFCE6QQI-kbqwNIh52xQ","HvyE5mz6SgK-FFkzxmDnoVm.jpx",,"0","1743-01-02_Bernoulli_Johann_I-Bousquet_Marc-Michel","http://rdfh.ch/0801/ZZ3WRCDgRRGZBCRI_760lA","Marc-Michel Bousquet","Johann I Bernoulli","000055653"
"http://rdfh.ch/0801/iyFxJ17jSRu9ie9OZMTdow","1409198.tif","jwlvVPl7TP64gFk8LQnGag","7gsLbmoxVFS-FQllsWFatn8.jpx",,"1","1743-01-02_Bernoulli_Johann_I-Bousquet_Marc-Michel","http://rdfh.ch/0801/ZZ3WRCDgRRGZBCRI_760lA","Marc-Michel Bousquet","Johann I Bernoulli","000055653"
"http://rdfh.ch/0801/kJ4tMdsaTnml-LfMvqFmeA","1409200.tif","KAHx9xZYQ92xSLd0UNp11Q","43gWPRaBZeX-EReZ0PemJKD.jpx",,"2","1743-01-02_Bernoulli_Johann_I-Bousquet_Marc-Michel","http://rdfh.ch/0801/ZZ3WRCDgRRGZBCRI_760lA","Marc-Michel Bousquet","Johann I Bernoulli","000055653"
"http://rdfh.ch/0801/6yttSeQ3Rp6ZSyYS-tUSAg","1409201.tif","5v7xKj73QK6aWF9LMTNBNg","8MXpK4giK0t-B0xmHSrEk5y.jpx",,"3","1743-01-02_Bernoulli_Johann_I-Bousquet_Marc-Michel","http://rdfh.ch/0801/ZZ3WRCDgRRGZBCRI_760lA","Marc-Michel Bousquet","Johann I Bernoulli","000055653"
"http://rdfh.ch/0801/6Pw_QQ5eTeO83JozF0MBfA","1074327.tif","5BWFxKwRSNiq5lk5aRVwSw","HSUWoLljbk9-BSNQeAnjHto.jpx",,"0","1712-10-05_Crousaz_Jean_Pierre_de-Bernoulli_Johann_I","http://rdfh.ch/0801/s-fJuXVEQjS2AJBLtVSoyQ","Johann I Bernoulli","Jean-Pierre <<de>> Crousaz","000055760"
"http://rdfh.ch/0801/tcwGiz1yQOGOancmoxjbWg","1074328.tif","DPFyIGIQQ9yqzY5_lMY2Lg","Kkr3eSLnQJx-EQLpF21gn7i.jpx",,"1","1712-10-05_Crousaz_Jean_Pierre_de-Bernoulli_Johann_I","http://rdfh.ch/0801/s-fJuXVEQjS2AJBLtVSoyQ","Johann I Bernoulli","Jean-Pierre <<de>> Crousaz","000055760"
"http://rdfh.ch/0801/UMHDspYETHaJa3efJ8bZ4A","Ms_H_321_s213.tif","ymUNejsFQE-lHPALGaHmfQ","3MfWxQ3pFaW-DbfBHGAjStI.jpx",,"0","1730-05-27_Bernoulli_Johann_I-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/KGE-5C3VTnO6u8dJLbteTg","Johann Jakob Scheuchzer","Johann I Bernoulli","000057403"
"http://rdfh.ch/0801/xAYAJty7RomTmt8epFGdXA","Ms_H_321_s214.tif","LSvfx96GRiCU9fNBwF6scQ","2zPI9wiY7Qz-CVJbw0oFqbl.jpx",,"1","1730-05-27_Bernoulli_Johann_I-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/KGE-5C3VTnO6u8dJLbteTg","Johann Jakob Scheuchzer","Johann I Bernoulli","000057403"
"http://rdfh.ch/0801/jTgRS0wSToCifsWhvd99Ng","Ms_H_321_s193.tif","jX-tCL9RRsKzSjPRtsIynQ","FN2c2c0blwW-BwVdxkwkRPU.jpx",,"0","1730-01-09_Bernoulli_Johann_I-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/ZbleyBHQSxeZzm6e4HaQzA","Johann Jakob Scheuchzer","Johann I Bernoulli","000057391"
"http://rdfh.ch/0801/QW7I95nHSBaiheGOqDxXFw","Ms_H_321_s194.tif","97UcJI0PQr2g3K4yrOH6yg","KHFZ1LFCwXj-C717fkxIjqq.jpx",,"1","1730-01-09_Bernoulli_Johann_I-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/ZbleyBHQSxeZzm6e4HaQzA","Johann Jakob Scheuchzer","Johann I Bernoulli","000057391"
"http://rdfh.ch/0801/fJA04rLcTMONAJxJAQfmmg","651304.tif","zhcoBVuoRD-taHOF7EOVIA","3PYfIwW8GU0-BgcgI7PlZvD.jpx",,"0","1724-07-19_Scheuchzer_Johann_Jakob-Bernoulli_Johann_I","http://rdfh.ch/0801/vQ7MAxW5SeSb8opba351wQ","Johann I Bernoulli","Johann Jakob Scheuchzer","000057300"
"http://rdfh.ch/0801/Pvhhfcy_RY2ZwSk2-W7_rw","651305.tif","t8Xi9eIVRwycBSYa2TbNNg","1OncmXZYplX-F3ectx7Or4Y.jpx",,"1","1724-07-19_Scheuchzer_Johann_Jakob-Bernoulli_Johann_I","http://rdfh.ch/0801/vQ7MAxW5SeSb8opba351wQ","Johann I Bernoulli","Johann Jakob Scheuchzer","000057300"
"http://rdfh.ch/0801/0wC998cqRYGGaSRpTblm1w","Ms_H_321_s067.tif","b9sLsqMIS2amHesXUhQTTg","468L2d2F79U-CrKb40L2P9I.jpx",,"0","1724-07-01_Bernoulli_Johann_I-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/sbl41z9GTKqgfRP92FF1Iw","Johann Jakob Scheuchzer","Johann I Bernoulli","000057299"
"http://rdfh.ch/0801/d5xizEmeRWa4QyLKE0xBLQ","Ms_H_321_s068.tif","lBar8tApQ76_Zsy1woo_cw","41AEYA1T7aw-BM1x3oW8cUh.jpx",,"1","1724-07-01_Bernoulli_Johann_I-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/sbl41z9GTKqgfRP92FF1Iw","Johann Jakob Scheuchzer","Johann I Bernoulli","000057299"
"http://rdfh.ch/0801/_kJfXpsITMW8MpkVEAkcJw","1070098.tif","SK02tYCTShmmUh4x_Ej-eg","55qq7Se70ei-BcXbz7jLb4P.jpx",,"0","1724-06-22_Bilfinger_Georg_Bernhard-Bernoulli_Johann_I","http://rdfh.ch/0801/kWHxfT9DQLqDxpD5CyFwpA","Johann I Bernoulli","Georg Bernhard Bilfinger","000055604"
"http://rdfh.ch/0801/Wwaq2X_3SIWPDq6YQUmOLg","1070099.tif","jPqBK14yTTCEfQc4soGx7g","L7OqGrzI5C0-G9EfyxkYMPc.jpx",,"1","1724-06-22_Bilfinger_Georg_Bernhard-Bernoulli_Johann_I","http://rdfh.ch/0801/kWHxfT9DQLqDxpD5CyFwpA","Johann I Bernoulli","Georg Bernhard Bilfinger","000055604"
"http://rdfh.ch/0801/VC-ulgKaSFGI-xB1C8Z2zA","1070100.tif","5g-jl3U0TnySNjV_wuC3ng","H0ttR3Cbx9k-Byyf7808ZKJ.jpx",,"2","1724-06-22_Bilfinger_Georg_Bernhard-Bernoulli_Johann_I","http://rdfh.ch/0801/kWHxfT9DQLqDxpD5CyFwpA","Johann I Bernoulli","Georg Bernhard Bilfinger","000055604"
"http://rdfh.ch/0801/EwfMpClLS1i6ShtXsDj9yA","1070101.tif","CX2f5MO2QQuDfbbpSwrjEg","4tA2UeCQ5XH-EFa9g1WF1TH.jpx",,"3","1724-06-22_Bilfinger_Georg_Bernhard-Bernoulli_Johann_I","http://rdfh.ch/0801/kWHxfT9DQLqDxpD5CyFwpA","Johann I Bernoulli","Georg Bernhard Bilfinger","000055604"
"http://rdfh.ch/0801/bkry-6ZfRnSRYeuGAErc2w","651297.tif","3sQqAuOFSIilENpjVVqHJA","53FWzpgQBDO-GNBP68EnXh1.jpx",,"0","1724-06-03_Scheuchzer_Johann_Jakob-Bernoulli_Johann_I","http://rdfh.ch/0801/Gi5xPQVIS5SzKZaWjoOUeA","Johann I Bernoulli","Johann Jakob Scheuchzer","000057298"
"http://rdfh.ch/0801/nStD4ZnGS_-kh5PeJcLmRA","Ms_H_321_s233.tif","S7bGS9E2QUSFkyRtsTS6Rw","8BwZb3JTuMs-EX33pP9ZtXL.jpx",,"0","1730-11-25_Bernoulli_Johann_I-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/1_lN7o-qSFmuHw0YaqkBcg","Johann Jakob Scheuchzer","Johann I Bernoulli","000057416"
"http://rdfh.ch/0801/LDrP80egRSOImpvOPXt9jA","Ms_H_318_s273.tif","SD5i01qtRoS-5Bbis57unw","19gOqOQK63g-CqHQOq2fIzn.jpx",,"0","1706-03-24_Hermann_Jacob-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/PPQ7qq6fT527DiPQk-_wLQ","Johann Jakob Scheuchzer","Jacob Hermann","000059985"
"http://rdfh.ch/0801/ysJktgOFRBG0Z-3fFqA2Ww","Ms_H_318_s274.tif","ljhZPzPvRD-L4XhxCkpb7g","By7iO4dU34d-EcZLzzRL3D9.jpx",,"1","1706-03-24_Hermann_Jacob-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/PPQ7qq6fT527DiPQk-_wLQ","Johann Jakob Scheuchzer","Jacob Hermann","000059985"
"http://rdfh.ch/0801/lVcxSpk-Q3OvmszZwGKBTw","Ms_H_318_s271.tif","Mf7tZFK9RBe-3rbXzCKb9g","1EA6dnwxnwH-ENweDjsfcpo.jpx",,"0","1706-03-17_Hermann_Jacob-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/TSSORuEdSLKMZh9oF-vrWA","Johann Jakob Scheuchzer","Jacob Hermann","000059984"
"http://rdfh.ch/0801/pypoisGsQa-Sw4yxONdouQ","Ms_H_318_s267.tif","Me4DyrFHSm24LiaJ80ZjSQ","FOVnjHtNvia-EbnolEhIb9u.jpx",,"0","1706-03-03_Hermann_Jacob-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/cIOWoFU7TfWuvT3-_BuWxA","Johann Jakob Scheuchzer","Jacob Hermann","000059982"
"http://rdfh.ch/0801/Hde9wYo0SEGfrJCJ8B-VzQ","Ms_H_318_s268.tif","YeX5zXdURiSENQOBiN8jJQ","8GsGrMNcu10-BeD6LqBhB3M.jpx",,"1","1706-03-03_Hermann_Jacob-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/cIOWoFU7TfWuvT3-_BuWxA","Johann Jakob Scheuchzer","Jacob Hermann","000059982"
"http://rdfh.ch/0801/IzcryJpjT6ycKthQVghT-A","Ms_H_318_s003.tif","lru2cbkOSGqjR8SvO1b9pw","6SuSyRsV0qZ-CiBlh7P0rUF.jpx",,"0","1706-03-17_Bernoulli_Johann_I-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/caeCQchFQB6hCoGWOVzobw","Johann Jakob Scheuchzer","Johann I Bernoulli","000057167"
"http://rdfh.ch/0801/nDx6JecBStOJo9BkQBfv2g","Ms_H_318_s004.tif","poXTTUCdQ0umKLFLH-3HFg","6gGpjYJt9T1-FrFgGywF68E.jpx",,"1","1706-03-17_Bernoulli_Johann_I-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/caeCQchFQB6hCoGWOVzobw","Johann Jakob Scheuchzer","Johann I Bernoulli","000057167"
"http://rdfh.ch/0801/cTx_4_rLSqGiu8EEF1NwUA","Ms_H_318_s005.tif","8dH0Bl4eT2yvL-mUx0ChVg","EqetQYa2wDf-BwQHxxf5hVV.jpx",,"2","1706-03-17_Bernoulli_Johann_I-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/caeCQchFQB6hCoGWOVzobw","Johann Jakob Scheuchzer","Johann I Bernoulli","000057167"
"http://rdfh.ch/0801/4h3I5ZBCQUyaRphtZ4P_Yg","Ms_H_318_s269.tif","OmcgUg2WQTC6EGtGtGaj8A","1htd77RIdH9-C6QsRJqE94J.jpx",,"0","1706-03-10_Hermann_Jacob-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/sSonC0KGS2q5CPfC5XP1DA","Johann Jakob Scheuchzer","Jacob Hermann","000059983"
"http://rdfh.ch/0801/drrwCuj4Q5SglVeyJRcMzA","Ms_H_318_s270.tif","osO1_mf9Sy-0oEqe2hUlkg","BpdfZdaybOk-CfhViBFXn9T.jpx",,"1","1706-03-10_Hermann_Jacob-Scheuchzer_Johann_Jakob","http://rdfh.ch/0801/sSonC0KGS2q5CPfC5XP1DA","Johann Jakob Scheuchzer","Jacob Hermann","000059983"
"http://rdfh.ch/0801/xSYpebY-SRaQZSFog0CM8A","1075218.tif","d_cyWFFASACoEo83591ENw","9Age3KcmCto-EYdhAypbq76.jpx",,"0","1732-11-19_Maupertuis_Pierre_Louis_Moreau_de-Bernoulli_Johann_I","http://rdfh.ch/0801/woYGrpX1RNmjK7Y4sJRxug","Johann I Bernoulli","Pierre Louis Moreau de Maupertuis","000056555"
"http://rdfh.ch/0801/-HAd2h-PS1yiSq_aBY0M7w","1075219.tif","uUOQh59iRAuNB3O5F5ghrQ","EeuX5Zrw3me-GAcYk7B2v3H.jpx",,"1","1732-11-19_Maupertuis_Pierre_Louis_Moreau_de-Bernoulli_Johann_I","http://rdfh.ch/0801/woYGrpX1RNmjK7Y4sJRxug","Johann I Bernoulli","Pierre Louis Moreau de Maupertuis","000056555"
"http://rdfh.ch/0801/G6OMb7vBSyCjc1sJhxUKnQ","1000443.tif","BxJatD5hTYydJxd-bswvbw","JEAQyWr9eOP-En7UFlEYl37.jpx",,"0","1718-12-25_Scheuchzer_Johannes-Bernoulli_Johann_I","http://rdfh.ch/0801/r_gTm2BDQcS8Kp_MiOXYLA","Johann I Bernoulli","Johann Scheuchzer","000057091"
"http://rdfh.ch/0801/NWsUGB16TQywtoXqguqvUA","808747.tif","e86XcfUVT2qPsdq2kESE9A","5cd7Oz0KUJM-Fuv5tJYCHkW.jpx",,"0","1738-12-17_Wolff_Christian-Bernoulli_Johann_I","http://rdfh.ch/0801/tCZQSj1BRuazu2Yjwo8K1w","Johann I Bernoulli","Christian (von) Wolff","000057893"
"http://rdfh.ch/0801/1rfsG37DQO6LCdRc83lWzg","808748.tif","PtB2IMxUS_2cIGGRx2DCNQ","8UMsBvcvm2Q-BUjeDNB8lrU.jpx",,"1","1738-12-17_Wolff_Christian-Bernoulli_Johann_I","http://rdfh.ch/0801/tCZQSj1BRuazu2Yjwo8K1w","Johann I Bernoulli","Christian (von) Wolff","000057893"
